n,a_num,a_den,b_n,lcm_1_n,d_n,d_n_a_n,d_n_b_n,gcd,d_over_den_a,gcd_num_a_b,log_gcd_over_n
97,26949008821312043991990735207798073607371391744518209303161799205580579104987422565986762453794311542826175380585357736173437105093715772283263715684571233461788487998585476083377059794679542457756190095969188067823103919509141237984243745809254557528242128592195081,2972858893995284905642822153151053577707639939952394308304042165787291981176670966276445187051279765463011409778688000000,7541252350548854715293085239948415231775502112584085274171766529640306279927568664107307158740416897870974768646241521908511633576299115208107485,69720375229712477164533808935312303556800,338905913915462479243281725459220107858670953154572951146660806899751285854140490155514751323845893262783300714770432000000,3072187005629573015086943813688980391240338658875075860560445109436186017968566172522490919732551515882183993386730781923771829980683598040292063588041120614643887631838744273504984816593467840184205670940487439731833846824042101130203787022255019558219602659510239234,2555775019929889231823438548069513552068855767357282236026138814574243441219854774231682733773707569552449539724364659621874113711188327190498447661222213259429816701974982198233541238173462541844180917203044802582410260597262261145692409632800201517256955883520000000,114,114,1,0.048826788127778305
98,10606307674090637924079439899746184758761329197729579129643851586674818828120099956827055167811775844201659907874448483943077585064136371798881131266402410290707396923355047226363634771176753142723431502720792289002818586577556062079049091119554774350569831349895401,34974810517591587125209672390012395031854587528851697744753437244556376249137305485605237494720938417211898938572800000,252280581920445897194151582870186923240119023319677527593974343545694496743071896850026546597592835868965480311265744235239096403157450639008668225,69720375229712477164533808935312303556800,338905913915462479243281725459220107858670953154572951146660806899751285854140490155514751323845893262783300714770432000000,102775121361938281484329772628540530312397279925999621766248921874878994444483768581654164576096107930314084507303405809408421799271481442731158161971439355716954676187310407623463620932702737952990051261364477280437312103936518241545985692948485763457021665780486435690,85499381178873417145517317553215218736190006898974094909357127252890440494056554258163365315370148607857720899597460894198015592430517417172559322700855635919273174416153417282322532143613816683582692770696508753721112325783313308873628946153647033544338927923200000000,9690,9690,1,0.09366173168249807
99,30164139795036546414480397709846277692149598642063751425454110661777116078607580462822556732752536794631422873568464841712010267158510710349062208581072304592820332079919697742943924270325345084680461780435456455543643244468371835287746879511379025826629226883190245097,2972858893995284905642822153151053577707639939952394308304042165787291981176670966276445187051279765463011409778688000000,8440955718998822128315208973873947489211745136621328301075927084314057611847454159923443849272175531821783389301999530626625240757464705023716240445,69720375229712477164533808935312303556800,338905913915462479243281725459220107858670953154572951146660806899751285854140490155514751323845893262783300714770432000000,3438711936634166291250765338922475656905054245195267662501768615442591232961264172761771467533789194587982207586804991955169170456070220979793091778242242723581517857110845542695607366817089339653572642969642035931975329869394389222803144264297208944235731864683687941058,2860689812267245509018688424586945937424654244146245073062878311854221247783376692127283625438700786095618342925400056534761025557841109135788863560674859199109824250688440033125142264718770550632418880125240146542642160472983691178505118489528747284795928288522240000000,114,114,1,0.047840388367621167
100,201880714893096650560626470735176150129164977235904206590411409885867938529500139643098787662416810896846075295172269531014862310920630685414755414039074291265740841789328526056854063594088620187430641925574147855627998995338383531995401627216181729355724194351485774521,594571778799056981128564430630210715541527987990478861660808433157458396235334193255289037410255953092602281955737600000,282465567808576428169310569936515732200751806030383419497457291965601971981539862786355444285161849342718964077377592329055009807990447067426716336001,69720375229712477164533808935312303556800,338905913915462479243281725459220107858670953154572951146660806899751285854140490155514751323845893262783300714770432000000,115072007489065090819557088319050405573624037024465397756534503634944724961815079596566308967577582211202262918248193632678471517224759490686410586002272346021472279819917259852406816248630513506835465897577264277707959427342878613237378927513223585732762790780346891476970,95729251407815632625899802397016514090128523652141653962031244809831964373007119038987869990110508285136730257274673329793328486564657388127324874496039735801052780290048642810614666433218626484599399061063515978160791533294103285495575716215823088978747124891922432000000,570,570,1,0.063456363608285965
101,44912366002164799535510257549240634431646147328684287355024735457372183278780971618506511181316648220417469306421643674426205751606389052371596411678498161462064685243295378247331798322709388537863886196012164059848793486564621494513276182843417906106313698939605527733679931,3952179988828691656217684267372495035052592435835989429987048964455242213546200352549145487308542701466201443234054225920000,9453751727617362220586790214342179854056568046238160174265497015555043573485130341449770532988373890822081820476567544952700091560159096954375132881205,7041757898200960193617914702466542659236800,349175102013014907826832405022359936346896541706109666139355776009620649566806801147717003803709747674538897509728690860032000000,3968007536291260038962331254475410052035937116489256787816435377658832392680298842495050262869325870273883413222352218635555278154424472777030542971795312565173414941245146668151764381811374477320274345417674694687640904537984309040247950754215972004492815301314148375270621903850,3301014723896508377697036551261936884983524494647741276330602674592657464728321285600344571921598189058884237690969504545990095999344642753373076969083168210780563471329574804939989709018357885817533684091636873070507198594604081240661078380430889854827454862704553538498560000000,88350,88350,1,0.11276298492819646
102,233023553529725858253276851414313273340056456983285087482911981794714386261866317830192859906430433496157109564566251441960290436571718061740562703453916163349427757733551390535123993525012416607567371341532760742609081855568290912428908429775325518767476789040171861523785800933,612587898268447206713741061442736730433151827554578361647992589490562543099661054645117550532824118727261223701278405017600000,316450933350602547185476128124239423853664246063605280292767658424655098656660836330558327452242038204566994089519267787376634350191501159941238084769073,7041757898200960193617914702466542659236800,349175102013014907826832405022359936346896541706109666139355776009620649566806801147717003803709747674538897509728690860032000000,132823425511943739204367805306158565803832180480472499865259829622987200169263801163209930146665347092809552451802763321917365548845879295192120740968732213109173821908124292605020676309257077466313401664673673623287176657673925820084477804971935545697461769752897961068557906531810,110496786934810425904221616795777688069910187742753368762946491164075974854815563517356177396097817852185496227274991152344504631250677306505776061082632133305683238987781668964035501773321502742381236434347422363948288100391853630211615470935265623278892646512405324485390336000000,570,570,1,0.062212121184594078
103,89733034137448442978242836303769133266244416811726939693199994202911999487049436213651484605914308149842524808059908486010963174770767719035105269693545146615610900399512908659318452978859462162400159578624820302191370896341574568452018904003021806812747919151655982869957891529375657,7046224592749321166849327672075130307747649442823492098826589456171094063512245529044161743590329481941936580962387870312284160000,10594265294892143974688704654306935467988688287977389682376394524830862027297178984935374678324101249286146849516432845859259846215101835552825460657865245,725301063514698899942645214354053893901390400,381553061697375741184891093442868306164535217328892097151459819051664743539188095397741358415416341447155865859113303177410187264000000,4859043798542833187271849585849098566367135170355013784386779686087684772223726970969227891410259786313972718356444044517493655913837071985750950353905469689235330256633624003902094228805239876093968641182534019363662734036896262881676823651763630838910299822062171472408219826315691826550,4042274359700348810729959496999418856768162428882923801377562463002034991540449475019759758655413030019670659132193832307112721370331620415383793176801857063061648064307314997055594460772536942727946873359217945779533531209864816665051991443887732067518439943986500473172749927239680000000,54150,54150,1,0.10582051701387511
104,25948294054165472611727652612330551681141640176672456470811030110606972204430161869115228547787251121522617470759058837164550413387435120442941332423155646235302241521309712214748113050305270086411634854898784879087914222206272118652914347851211765048560404886548384324005397565842615897,60853757846471410077335102622467034476002427006202886308047818030568539639423938659926851421916481889498543199220622516333363200000,354728744673638661809200771485635417644320316380018800077283361182377831154989430101942475250845712082894267984660609805515494511953726127642742319448914001,725301063514698899942645214354053893901390400,381553061697375741184891093442868306164535217328892097151459819051664743539188095397741358415416341447155865859113303177410187264000000,162695803719617513275532381879312559040758083907736302071985158793505715721777114919352482994626064531946811541659298909021731091939218205177242154293185901895345054338611895586470668825414043441800950540215381191881222173233326183953772961027097766854473738638658369711513842737833201674190,135347838602293498657609102747670598535217232420489186689395093721033097212186889883956344566497191890279961502187275047706607143068526072788605024900914452426149870206627616579562752526317000223171550947862417018234778499803588938009950437342339640206601275071993945984845198841483264000000,6270,6270,1,0.084072419554105451
105,311501982761835368571726447037197487503846082253272935789073375598272229553426810209803192648196955725287449625433975929488347872636068400047838716070347416386056097798030375912841059111771150879995352823108123267993569442293089286571861596349289072865836184864248501723751911027897419,21814936819657341073836927777322384853707893011837436838472413177000291218304165724594927998731670222730453811029064613969920000,11879053245736136626297801882664897690560348994899615973104332320889795868569736357693370319099865113551248825079658955981742344087871148657636296901749808245,725301063514698899942645214354053893901390400,381553061697375741184891093442868306164535217328892097151459819051664743539188095397741358415416341447155865859113303177410187264000000,5448309854396743422235352835581750795311644709346757619771998422232800517392733952634052250853656444265353873301171684295919474048947522547616720671492607968929494875731560388384750902341477725909014718784931474612678126651955163512320816657867423064506264499558895206974196612237888412148550,4532489135976771689898163919814232305890780337581043504553039571459173954683227120091316419956151962740821816111486249216626926956876705801746464453555853606887384159036175140762296805163014393995005229753048356592877227776284147040544259138532736381766022782088822921519725021541191680000000,17490450,17490450,1,0.15883014833954087
106,12805341282568921370088256910183230669395331207087068433721891459510382983905231107428733296379849624333613322155427016556084435831987445338546369270738644960756384074137246900142474103558317801055489560366672868758876758863969578706552577131715002575681616986849741046373680187220932034899,26775653452447420434027445153885495169441067882729269975541039933450157441346533010367814625643252031379359007657073907186679808000,397856128527367719159360718091200697039534247645292747710029152848922755777822789668064000434920459487308771520555320411907064898360189434708030055999479800425,725301063514698899942645214354053893901390400,381553061697375741184891093442868306164535217328892097151459819051664743539188095397741358415416341447155865859113303177410187264000000,182476113276607129523757660970111037038883469700990725180536953298022957520649543280859449473412857146753989840714834985924203210605821096074285762108025690690778473056455768327030255975706028665040726235225088379813993813811566496568374224126938786703463042062608809910824942667898281497310750,151803223954681788034566785355466148732297327226274062784978037839131323698511490250359890309990716870444213382493508199661865281037945888158959724647979981960736562159601850209466035348197499822611155520079951252345436842550957754149394325203303822810450801122213649310671854984596787200000000,14250,14250,1,0.09023124703487545
107,2627328601713454477601349892885645858356235644805437925665101054559674758068093139813829380937325593010774672660650317231018366719337660328170627782219297882168873029872694856418260471216127929976433210038951989974841827837467826229214493038034727749052732488551557604225186299778117140603964309817,164006634161732726353811417468256743294287970611311565393233610915967906112097404193100093662209431991385320484086223952408458960158720000,13326863545057536991554828870039268318203873495038428229287707338495941911549891885702441134985796119516686940131428547776796183475989322125138860870633057550885,77607213796072782293863037935883766647448772800,467418907360938270108362539784531718388720716242237961370715791110508532419477601950335266937296881175448163379645738264364108036452352000000,7487886514883345261163847194724090696315271587695498088145538005495073060494065448469413735671377940080707817082853404108402345150112331935286289179324998964181288135137180340792042342965964600432834648611013171428299209336783304753261305158398974084800287592371939172041780954367633850721298282978450,6229227996779114266627893574302927154099901752453801478974494156257796536472749140786759926585056811433529209546252518451681065809972590121863310079181839227639926472406574700958363555376573929245582509247481517030561067269519256401360088854020915174079545232207583905169838217720312261117931520000000,2850,2850,1,0.074346488535165386
108,298367064547020611018127738573878989607570393516336325247893615838926301589892328371014160256632925430014670292721460967151766565897758261170471795320969206270683837239315550924351816979739731183335279142459637717611974887436484889277744576482243688750876041579659664471651636597028069308147323827,555954692073670258826479381248327943370467696987496831841469867511755613939313234552881673431218413530119730454529572720028674441216000,446464009155334461359773954333933372439266235868068442615708760165235711055959971268835439096186018399209175218662009144862187876420436975795335828030080943525825,77607213796072782293863037935883766647448772800,467418907360938270108362539784531718388720716242237961370715791110508532419477601950335266937296881175448163379645738264364108036452352000000,250852109517907578713490896205988760512564808348859765452166557516577288061701975077930155235764132055284834048605568308132847740278540258079074161916104860172077436158954549439648790125716178992389135939022940411082267886612224670660263752677446381317299031958098862904541113468951349270824862507550250,208685719335370374278389831210870172553229243003077031914295664295067919221677807704317395143967128499694705470984330268963757683285833659421428507339883984204376252404459422432801704577811305397336964555886917311493530280558490331794833441654457997051451162820720687193961548417078230995493990400000000,840750,840750,1,0.12631527434817144
109,3819147745853153324347649267971946026624247089690647151140602492172644786114875733893439625948030882000115942969589896427796123157848605639364688697634667579552207352326222853565530440278641754410344562047391440837786514579062606575952245376907430041151116210140186551329150894025346158842307861439020124541,212393347431834570877250046152499062011658456292796205219633929910895001484443389254786221195277418502371740201185698518863574198715387002880000,14958929764831312179536001320287687190006699292854942554131474468994705063061112842365742059594076662790886275282715954924742285761934826618421758005136944496748245,8459186303771933270031071135011330564571916235200,605321040180728527000162631534622326733226600434469184875956700246050754230663659376140730406540642731759459573379240778761186466338852958208000000,10884571075681486974390800413720046175879104205618344380750717102692037640427395841596302933951888013700330437463331204819218950999868526072189362788258802601723790954129735132661761754794129000069482001835065606387691566550328428741463899324186175617280681198899531671288080047972236552700577405101207354941850,9054954925238150654978251284026579088579286197096541237266126790953991709093036121472803135169800133628797617383353269177722381864659788969070588592690463973782633711730688735166061734722186791418854104140415990358338250426209933578233834020085233919648671646736563578478202459685113606125618654882344960000000,2850,2850,1,0.072982332782226572
110,480758563538080981019176890845505298502267304030699445534474781143077981144624062790782721226971274490475033063002118494452784941848610632453203911227189768976032729670114553677463200281592346895704859800934942473529932257946889032026852921222397088143478814673301327627115322713234798956960144193508017567,797871327692842114490045252263332314093382630701713768668797633023647638934798607268167622822229220519803682198293382865753471820869222400000,501267033363816002881429432662026294457364203617182653187086426631782340114358734220391207719943082151325452366640892876142538739219218570224212270811378317921203073,8459186303771933270031071135011330564571916235200,605321040180728527000162631534622326733226600434469184875956700246050754230663659376140730406540642731759459573379240778761186466338852958208000000,364737099399435897869818931777759504814715135548970748343639982209818971954991937717483127113266296817688693333907817238186494351832285428523272211330732062029046751018825808438481006157635665819364405985175312806392953706136566301927812505743795998861813072328193518230863581882849844924676952595288727687555890,303427482044093053806413703992267760539721484654650676021461564589081673156706315414664637519463890590392327026096539830201904481265222173932756937531669437990271275830204413527204365018063568592283808368686105496675697612325638514371516564280647863000195929484073147786986753298944583018640780332350173184000000,758670,758670,1,0.12308474708385189
111,644479648732996737065058012945704323644529167288651849253233019237068531320114730496738043058118223831183641571294916815757325178076383462228009946263027736672872656632671508022957800964043524376020438073203595529706732139680355898308754092156167812840446065471853874865638892166849389321163380690744980491,31914853107713684579601810090533292563735305228068550746751905320945905557391944290726704912889168820792147287931735314630138872834768896000,16799305622673226276584800639491164628660297157852606728323533741389416079075910687413566956001968535593950767161471568669563428169585757326083688631814168102774755725,8459186303771933270031071135011330564571916235200,605321040180728527000162631534622326733226600434469184875956700246050754230663659376140730406540642731759459573379240778761186466338852958208000000,12223684377606565862728689067037937480484873583672037461823757367614669566415786064649006278172563821850102333772357863515265247321280246032213107648284281324540207460187722324794434871434772515958885643824934295513065161810282390234247561677402995864191530412288284481107856458005590654907175550716187358727674250,10168973153830518669708921255448327282954484679149901336122410364212362174118186437151761974131026185248500479874280695750457457330328893334193582739555660602914418503463413000123192259459685594835663531740742321086057755881396356334109785095886264401372636845673486869589355504056606157677838800520833740800000000,18966750,18966750,1,0.1509747567936208
112,13171649216732377482902885430693190674646878660687705491759760976369090809711825198093928853509751248293587626315382668516448359909768315640276569256213526749297758626594485258133841716259027800069456482679138204615650429920156642117077627616406203926928627586120288585421439745055040726285507452665616035951,19460276285191271085123054933252007660814210504919848016312137390820674120360941640687015190786078549263504443860814216237889556606566400000,563074847030049024668691674984715550162565403815843750058715863444494278525555847649060545315090992017481420025694523931061750069889144405326976618571028705286305304729,8459186303771933270031071135011330564571916235200,605321040180728527000162631534622326733226600434469184875956700246050754230663659376140730406540642731759459573379240778761186466338852958208000000,409710339561592465823111215677864121734508244773661602542768492257619463108766887344554761134981962161258741102724346134058328965722501049099153616702072169894478952026775963362324469489843701464226476538281453049525975978368534826673494633493294684062960617521237052985169031346617217660252063503666739637792751970,340841052103833874558020758833729039112817999536904939172083029306597421741161926524554420678548999343215452519822138774364185731559194270288849750524546825276118834272715812231004385303303468895355717622226093180247611353359803252185331952093680410996029325878640453955082688097033238817669357812064541765632000000,31105470,31105470,1,0.15404369862435727
113,208966083251920194558201218136337769660891035018633644993149421826727022741759236222379139997621787956493693914900147369199093145785667486377301738174127387973735280411130072070416824470833038607087440046747834039146053102860130958810924624775820533724404624703385712176464382025039548463083285726874967676406414927,9209969160912150467770742594840043248067196141532885533367216786375376858208832848251338067738608604802905389062967418054776697839333907146342400,18875245100100774344737061328709956963653108696265810063015997612020376183822916971406316858087874875675745591571660085435723494846891188251789316401602067085644341016125,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,19817037297591786750683814770436921963578525192198348430869083982160373792936309968104047767749465233619133845302161850573784499614151543986233438712570653179254218148689006472207891527660862675004878517533272406309867013443361944315135523134833970540086757077964704782114779088867094279060924547801028965882406851583386250,16485939430573466810429419476565869237836244345180108886841414589968733685087155225245025234588485632273457796224469866832752600930531167051366838377251113834195596157604077256842460292703446325688180001605870936708391653138982978954237111841584305844778461719377576573552369898601407387390095343512995253944524288000000000,94833750,94833750,1,0.16254545058872574
114,16638595214042701618735599536414216639537419212997921541104809934886375424700399668963506762010498180991466545076914874669119298622450031861056239454588952390798730717525828536423917701607324680550457408340614526300459806387298716343904929411080604920103423363783629243779639489012782970100263203613484276032767527220381,21873676757166357360955513662745102714159590836140603141747139867641520038245978014596927910879195436406900299024547617880094657368418029472563200000,632804908914697744701871758995666718140448969607597542715168441647156319447814749100576448771377852361970022025023783639858263395551923237154249925426456531668068710483073,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,664379106896725075636112489489019670416729149175007007136315060700012970708286958781712825007079192366989259144921210945537933593994429772211975641421736868964593317550806333459407033825180474494379764315040738035177360069044837743612123831384448554459729694915880315704121004796280423996103509720286427141988407361909813330,552701877215971542490892952613075136935813095905258093325844648359882391864157136160037062622483457049387794589630947719448502834566927355337690405672189103635508771170668088050525261993116239630761209960317219618865841305148740067682301881880894979606018172969722241930834869982233163291294148462634287143039901954048000000,39930,39930,1,0.092937571930326895
115,211720621089897755777924586889062398001996878008044438675930266140002143409022310033063129959581665773581248443314044071890073521069003097813305623045245377711696359424868909375617725618853604757506227352334519022119952818678592765133898568617623588994749099267192943768178699488995950489456660240866820885591361686811,8301205600442640364688999492502885280515973751856016372579559722065092993641737386943805658777683277573776204563395680409903095775490713272320000,21217634412363016555681824550170973335081304313586498430752878533598802531032778075400442711109508114111977365690608241808389388017754876364254282295822226186633308136326205,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,22276301594315191817940013268055489190099002617899300039729274713566702519959157312399255403418862734283526524649930969748153625059711748888130748446798167300893873889885265977855775590736772394043634339300920202897813001791318411009583961541316005609056473591402302534687994365019427878520951708405935036228982195126747111050,18531819530142176075395044140034104997407596849137102996438767011093963563265266514316430476113185468118988630184141257714289877366513867406674016160041113449868391878677751625492112016165707912998442870358251799400987711560327235935446981535640072409587120116744619970214243172463487138647792562259220920867026658734080000000,105215550,105215550,1,0.16062192748724111
116,25803695962142524214058009799970356888879542193338939633431456175553358824854327598531440377681602419481514295345932053598577138392903405762624401717861606669599789113190255297727383925403175731853458749423771914806229981020394269907847195526722819950269681620276503459484173544732649946810361737441969665587175252632921,30170588630574286015111053327924279605737366670538762954133986024333131087235831744271624704660959222630207308999376024662199527404714523410432000,711497053424535554566464669593341614534869514680125383021065092197211796894041528558033278481511166642743254266526464460434155282728253916163834196487450221928514751460629425,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,746997645332054469103818840201791854165396086840517298183115582690138072960414143231786300353599128842175227714543223502638609223620758919273654461430805116879911694985022998177734469102477885055358740701756129104704253278054648818129745425101980595445344580645789567774472210989851666472699864527641940341499533182283588259250,621432848452164612486046218251855446663633357339922048747164801766135507768515526188368567149082946914939425540555690313503924573424467599595017035392339229178798265135676266466847227131445384759427820413801374068601944005237547875402245297298337177232300787722131512613657168936574407992789211441081951839847590879948800000000,28949250,28949250,1,0.14811254185268916
117,70932686856552170686130893871740747562949618288572206194082168402379045968043251278241572506315277100668179561008963032420575434164972693512738497485997530188444436440633584925134377615898884206589977305171341975829350463281370788291802437945244488162090238759704830417175212639584859685985665148686480933131934262997749,2472999068079859509435332239993793410306341530372029750338851313469928777642281290514067598742701575625426828606506231529688485852845452738560000,23861482972066705203953227212614551503983091767664898712877654526481953982179988416786392844576821913807993883704056852976540898552313285966809869751717054304585068975325012965,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,25052066636780923712272792308881188203917974694333477070001205206195373477182588323212945083117059934399523225309772421408876389327504096121618468369827470809855466239873944062406145850604141438135023786121123954664089451569608324174068833065573701786901968301855497755843796198979324391027150305028467719472329705149668539906650,20840998933521218987135393734811428305685594998749809738230071567044126026017357057369863240473918318933031652368906662494407169393394968963027751329520896947216947160226709633195021541255870862160991081981147744511858292564155108800325565045981793691315137446741128876308370447632578329678416854381220361780652210650787840000000,353180850,353180850,1,0.16822641715086456
118,29025381073158606093977212725897144907509755995514763744204221498690198919855588678647944158151340982619728769879136860255279951676284830734655262709437915088743767579856064166765015314315129484804067882195224777317824164329054109624883121929031220869893701286531778717325218682998723266612137169226081535640343721628454569,30170588630574286015111053327924279605737366670538762954133986024333131087235831744271624704660959222630207308999376024662199527404714523410432000,800330043354064748123191096812510426589609606579552975938823323707046327002023089434601578307174202677142641687440367942130099760830492308897453887981415451180667591952802333825,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,840263013032136777466069825505177922213726803753155774321904059220957241080629400555348997420362707941104183091423602751745163141064688636145218863991195563382815513611148165579722119587937262237964162138640110884768021189202869683058147717504007070767770231969130095032527086958800789525971411946218140895636220483352538431623250,699020995448313665412295863700522983318646088664110047809153916571686960996671679502054959353081354064539985970748423248711833709236240601868781689788081754914628894264374573063237146214830033582794453176640906934614100296754354424451968249301146659649248708939240060782163614478613553070355299399762566987857837038872883200000000,28949250,28949250,1,0.14560215978738933
119,4868175085545363929613193784136342460030423043581143891285688033617966598185464698603415000493413407145122617932463368203411595287203472837794288917722939327723666073696563522827860188284440123181745796184856100394259125228373344251175754696998024311136974607940759280832457795199107558529888833946740194807530140447091464393,150852943152871430075555266639621398028686833352693814770669930121665655436179158721358123523304796113151036544996880123310997637023572617052160000,26846481480807732786714186293674964098134939413600159232868919140198255617612932057110724660482799983267462125999087475557483567160914396299526761146239324539260748971647562996205,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,28186003519044825347870950031081802392207144858878285958960440861442983908504112785208982340606789615359188189436273032392522624973615027209903263690278160266620868016792048312644886311138665647203830898040889092867701196203497407212669943332414011057836412433785805122127805765533552897754276865226533716906378383667592515115811050,23448144131079155361184517840580600954762162687385840626199744618781489610606595133156228099169768334250779350217726645308958041349446314545776086759854145860802627622805374909665261014650353966877496278740971319547449932212595772283746040167056943718644652944479870577254897116631344940941561350249761244467782509814580654080000000,5789850,5789850,1,0.13085392388636843
120,816582816778990541543996318412327959614708620449366697073966279084316946308513374005158749205744291390799560394261847361437893433753402854754815673027402691004341993819128006073026624870689101875203510304524607018999256411646713549548785379602613837577597280462062878991438516026499116241925111083525556594684526349767192306393,754264715764357150377776333198106990143434166763469073853349650608328277180895793606790617616523980565755182724984400616554988185117863085260800000,900640387125562869412703394976309700411371416386850464068653959773396998840265406553508916953243645135969311264131307434540680005018501901175164040540477919863196050602890820791001,955888052326228459513511038256280353796626534577600,873415912913652649422953660553411951376392462087094283449963294914925895127161902122855331481406273775727528940050186381952179668720931916839448576000000,945578404345567677391701416831923407395044141221753154210740732191266494316869231696753676817775717101804166949743391389124237459483427903720433904895541494102297898582735657192382640801511859298429408827330359189790568946994544888971007006018438745499730322856654951985716058403205181634662020881390088769946840977239915675033902210,786633645928179027976018399940686135756395624539261178984361130534469144863260020764989893710095073083481059700330700995602547774350566622478107455182639135991627340136807427983599156780603317962518708613439357440454768417260547427213684678283078296354131923506263536309417551210435101105310525971780903626757627484392983064576000000,1157970,1157970,1,0.11635149191703117
121,9707232170108615766091646973872283188439737950775204840106416868017296194393839736464637730657899352755497650918352170614969898747707903073206400754517427032820293239203076196400993055415737602652080169418194721723473524070172741757003398778633535067906139741408189695738448584478544545748032147083840174992410859825466646540339056097,267245190824844063536080763723354323513098475181131607188942792076268130210172986603567918667069367907009963452691217948132954284843117329037541621760000,30217636413741028259420726321882214131812148917646197732042578382843946846518728734180889984409022195269428985761114796221480637671011518347903351533059227444155825874212067162100445,10514768575588513054648621420819083891762891880353600,1162516580088071676381951322196591307281978367037922491271901145531766366414252491725520446201751750395493341019206798074378351139067560381313306054656000000,42226459939972478582498664336344431869712860085872141054462913375875238445613202853621174128361862184486414781494831942175119059552529378368447843282150807592768275590533381454344319791058458571536548736969147039497109829705251426642964784687055877545391707875125625176462251342481668774003939839814704761216987240240779912450474894021950,35128503342047003073083603515485286246521377284951264738887326107132212830444616064321399882228342189559547903139972616969532869042977814191237063638427937189482469193464100402902688270581606656467015002030266870563925483258586381259278082265658048804332294855196627975307561093959853866443338682803376699552654719693329832931921920000000,4350,4350,1,0.069239100199030831
122,535886472700059612067996559875006514366774337238172900191376796555610037997528442894065957539933434787539169936223920300636248787990062402980698625373824998502545156968794896598777933511506704839482474091245344500146452269306860777058766242696903305668337311001617978857160742139228295340635862718008987909239478471004621250014547,439677166392700328642724266903656770744002226938919240403419149237371586801933901313063210125654292374388205898461649998063500700770188955238400000,1013943733223738928302258841937821529033846822496454727492330147908163269616522140710905889590823801553167495230057879875458723197241464411442929795986081247336880289316082474814789073,10514768575588513054648621420819083891762891880353600,1162516580088071676381951322196591307281978367037922491271901145531766366414252491725520446201751750395493341019206798074378351139067560381313306054656000000,1416896207437612258684225554350084737886168076477175977518265668983265409501242565943656815718543598641262809590809872685201983486430239684021851989819653177659944818793168116081331321986908508285406405147579457713391728181630238189958720232603156211684411732196788963457464814057655607661980636308485922859560005416894114081743125103890230,1178726401148993078084795875144095556850816679952164314927531949133107946157848938581098687189794839707730632225546817988780370601991919767189390855105497665843114477089697670919043868091791691630355407134764296649845600854048265396486527168433100654498141726819659257473058206852271073983147577767729693609207829920642861782449573888000000,2644023090,2644023090,1,0.17783252042522993
123,10930643095663154729509914136771707014275280386881733097988186514137362885189206242261581112786258507005444785773552883846757857841406461404902326999555712904370103608031246156393598761498577200940646643155693106618189700020694215674150261532638510136557825283701159740397207023328226626726707839243964959271027764485709712870904003961073,267245190824844063536080763723354323513098475181131607188942792076268130210172986603567918667069367907009963452691217948132954284843117329037541621760000,34025991451013388406052798108922702612817777790099960742979054050353186097776928995085665417983085999083556185530930294190680848767441489999486267317200852352819689383338324277016601005,10514768575588513054648621420819083891762891880353600,1162516580088071676381951322196591307281978367037922491271901145531766366414252491725520446201751750395493341019206798074378351139067560381313306054656000000,47548297466134723073368126494956925512097469682935538976248611336497528550573047153837877840620224505473684818114955044733396681610118107111325122448067351134009950694935920780312154612518810824091812897727265013789125195090019838182553637666977519094026539984100044870727850551477785826261179100711247572828970775512837250988432417230667550,39555779215738047931664843596139802282063921220257163665345134659704567573403366953461949778750318271942692347639035595067272748914130054675541311718918571398154197392653937662026355646774301002983346747233967082655235356864370273834523252640007322654882817514351412750910334489133787003895463636643350919856225763897197784091874529280000000,4350,4350,1,0.068113261171404316
